file,group,period,genre,omens,excluded
VAT.11007.txt,kal5,Neo Period,extispicy omens,20,True
VAT.11298.txt,kal5,Neo Period,extispicy omens,12,True
VAT.11324.txt,kal5,Neo Period,extispicy omens,10,True
VAT.11340.txt,kal5,Neo Period,extispicy omens,7,True
VAT.11748.txt,kal5,Neo Period,extispicy omens,7,True
VAT.11864.txt,kal5,Neo Period,extispicy omens,13,True
VAT.11908.txt,kal5,Neo Period,extispicy omens,11,True
VAT.12195.txt,kal5,Neo Period,extispicy omens,10,True
VAT.14206.txt,kal5,Neo Period,extispicy omens,11,True
VAT.14233.txt,kal5,Neo Period,extispicy omens,24,True
VAT.9934.txt,kal5,Neo Period,extispicy omens,421,True
VAT.9976.b.txt,kal5,Neo Period,extispicy omens,4,True
Maqlu-K.2385.txt,comparandum,Neo Period,incantation,119,True
Great-Prayer-to-Nabu-K.2361.txt,comparandum,Neo Period,prayer,184,True
MS.1807-bird-lecanomancy.txt,comparandum,Old Period,lecanomancy,7,True
