file,omen,language,bin,macro,micro,pure,mixed,syll
EAE55.eBL.txt,1,akkadian,0.6,0.611,0.438,5,1,3
EAE55.eBL.txt,10,akkadian,0.636,0.567,0.526,4,3,3
EAE55.eBL.txt,100,akkadian,0.583,0.778,0.833,7,0,2
EAE55.eBL.txt,101,akkadian,0.583,0.778,0.818,7,0,2
EAE55.eBL.txt,102,akkadian,0.5,0.667,0.667,6,0,3
EAE55.eBL.txt,103,akkadian,0.583,0.722,0.667,6,1,2
EAE55.eBL.txt,104,akkadian,0.462,0.6,0.529,6,0,4
EAE55.eBL.txt,105,akkadian,0.545,0.75,0.733,6,0,2
EAE55.eBL.txt,106,akkadian,0.417,0.5,0.4,5,0,5
EAE55.eBL.txt,107,akkadian,0.667,0.683,0.632,6,2,2
EAE55.eBL.txt,108,akkadian,0.643,0.712,0.684,7,2,2
EAE55.eBL.txt,109,akkadian,0.462,0.6,0.625,6,0,4
EAE55.eBL.txt,11,akkadian,0.7,0.875,0.889,7,0,1
EAE55.eBL.txt,110,akkadian,0.455,0.556,0.438,5,0,4
EAE55.eBL.txt,12,akkadian,0.769,0.864,0.833,9,1,1
EAE55.eBL.txt,13,akkadian,0.6,0.688,0.727,5,1,2
EAE55.eBL.txt,14,akkadian,0.667,0.75,0.7,6,0,2
EAE55.eBL.txt,15,akkadian,0.667,0.688,0.636,5,1,2
EAE55.eBL.txt,16,akkadian,0.714,0.833,0.778,5,0,1
EAE55.eBL.txt,17,akkadian,0.667,0.7,0.714,3,1,1
EAE55.eBL.txt,18,akkadian,0.462,0.545,0.429,6,0,5
EAE55.eBL.txt,19,akkadian,0.6,0.727,0.688,7,2,2
EAE55.eBL.txt,2,akkadian,0.375,0.357,0.214,2,1,4
EAE55.eBL.txt,20,akkadian,0.5,0.571,0.583,4,0,3
EAE55.eBL.txt,21,akkadian,0.615,0.733,0.625,6,2,2
EAE55.eBL.txt,22,akkadian,0.667,0.8,0.714,4,0,1
EAE55.eBL.txt,23,akkadian,0.667,0.75,0.727,6,0,2
EAE55.eBL.txt,24,akkadian,0.875,1.0,1.0,7,0,0
EAE55.eBL.txt,25,akkadian,0.667,0.857,0.909,6,0,1
EAE55.eBL.txt,26,akkadian,0.667,0.786,0.778,5,1,1
EAE55.eBL.txt,27,akkadian,0.5,0.643,0.636,4,1,2
EAE55.eBL.txt,28,akkadian,0.476,0.491,0.4,8,2,8
EAE55.eBL.txt,29,akkadian,0.727,0.75,0.688,7,1,2
EAE55.eBL.txt,3,akkadian,0.5,0.5,0.4,3,1,3
EAE55.eBL.txt,30,akkadian,0.5,0.625,0.583,5,0,3
EAE55.eBL.txt,31,akkadian,0.706,0.767,0.778,11,1,3
EAE55.eBL.txt,32,akkadian,0.688,0.75,0.739,10,1,3
EAE55.eBL.txt,33,akkadian,0.692,0.667,0.667,7,2,3
EAE55.eBL.txt,34,akkadian,0.615,0.667,0.722,8,0,4
EAE55.eBL.txt,35,akkadian,0.714,0.833,0.846,5,0,1
EAE55.eBL.txt,36,akkadian,0.455,0.417,0.4,3,2,5
EAE55.eBL.txt,37,akkadian,0.615,0.65,0.72,5,3,2
EAE55.eBL.txt,38,akkadian,0.875,1.0,1.0,7,0,0
EAE55.eBL.txt,39,akkadian,0.556,0.714,0.769,5,0,2
EAE55.eBL.txt,4,akkadian,0.7,0.722,0.533,6,1,2
EAE55.eBL.txt,40,akkadian,0.688,0.75,0.8,10,1,3
EAE55.eBL.txt,41,akkadian,0.667,0.731,0.789,9,1,3
EAE55.eBL.txt,42,akkadian,0.643,0.727,0.778,7,2,2
EAE55.eBL.txt,43,akkadian,0.8,0.812,0.765,5,3,0
EAE55.eBL.txt,44,akkadian,0.833,0.879,0.895,9,1,1
EAE55.eBL.txt,45,akkadian,0.733,0.808,0.846,10,1,2
EAE55.eBL.txt,46,akkadian,0.667,0.75,0.75,7,1,2
EAE55.eBL.txt,47,akkadian,0.818,1.0,1.0,9,0,0
EAE55.eBL.txt,48,akkadian,0.667,0.8,0.857,8,0,2
EAE55.eBL.txt,49,akkadian,0.625,0.833,0.857,5,0,1
EAE55.eBL.txt,5,akkadian,0.556,0.562,0.417,4,1,3
EAE55.eBL.txt,50,akkadian,0.625,0.833,0.857,5,0,1
EAE55.eBL.txt,51,akkadian,0.765,0.738,0.696,8,5,1
EAE55.eBL.txt,52,akkadian,0.625,0.833,0.857,5,0,1
EAE55.eBL.txt,53,akkadian,0.571,0.667,0.625,4,0,2
EAE55.eBL.txt,54,akkadian,0.889,0.938,0.917,7,1,0
EAE55.eBL.txt,55,akkadian,0.75,0.786,0.778,5,1,1
EAE55.eBL.txt,56,akkadian,0.571,0.583,0.5,3,1,2
EAE55.eBL.txt,57,akkadian,0.6,0.75,0.625,3,0,1
EAE55.eBL.txt,58,akkadian,0.75,0.857,0.727,6,0,1
EAE55.eBL.txt,59,akkadian,0.667,0.667,0.429,2,0,1
EAE55.eBL.txt,6,akkadian,0.667,0.7,0.667,3,1,1
EAE55.eBL.txt,60,akkadian,0.8,0.8,0.8,8,0,2
EAE55.eBL.txt,61,akkadian,0.615,0.597,0.455,6,2,4
EAE55.eBL.txt,62,sumerian,0.143,0.154,0.107,2,0,11
EAE55.eBL.txt,63,sumerian,0.143,0.154,0.107,2,0,11
EAE55.eBL.txt,64,sumerian,0.25,0.286,0.214,2,0,5
EAE55.eBL.txt,65,akkadian,0.647,0.733,0.679,11,0,4
EAE55.eBL.txt,66,akkadian,0.688,0.733,0.56,11,0,4
EAE55.eBL.txt,67,akkadian,0.75,0.704,0.688,10,5,3
EAE55.eBL.txt,68,akkadian,0.412,0.464,0.4,6,1,7
EAE55.eBL.txt,69,akkadian,0.333,0.312,0.188,2,1,5
EAE55.eBL.txt,7,akkadian,0.542,0.553,0.548,8,5,6
EAE55.eBL.txt,70,akkadian,0.5,0.583,0.471,4,1,3
EAE55.eBL.txt,71,akkadian,0.5,0.519,0.438,4,1,4
EAE55.eBL.txt,72,akkadian,0.833,0.778,0.778,4,1,1
EAE55.eBL.txt,73,akkadian,0.667,0.8,0.889,4,0,1
EAE55.eBL.txt,74,akkadian,0.667,0.674,0.574,15,1,7
EAE55.eBL.txt,75,akkadian,0.5,0.471,0.4,7,2,8
EAE55.eBL.txt,76,akkadian,0.76,0.75,0.659,17,2,5
EAE55.eBL.txt,77,akkadian,0.333,0.4,0.5,2,0,3
EAE55.eBL.txt,78,akkadian,0.75,0.917,0.9,5,1,0
EAE55.eBL.txt,79,akkadian,0.556,0.643,0.6,4,1,2
EAE55.eBL.txt,8,akkadian,0.581,0.5,0.5,8,10,8
EAE55.eBL.txt,80,akkadian,0.7,0.812,0.8,6,1,1
EAE55.eBL.txt,81,akkadian,0.75,0.85,0.833,8,1,1
EAE55.eBL.txt,82,akkadian,0.636,0.667,0.643,5,2,2
EAE55.eBL.txt,83,akkadian,0.692,0.727,0.8,7,2,2
EAE55.eBL.txt,84,akkadian,0.667,0.792,0.857,9,1,2
EAE55.eBL.txt,85,akkadian,0.5,0.7,0.667,3,1,1
EAE55.eBL.txt,86,akkadian,0.727,0.833,0.769,7,1,1
EAE55.eBL.txt,87,akkadian,0.625,0.833,0.833,5,0,1
EAE55.eBL.txt,88,akkadian,0.625,0.833,0.833,5,0,1
EAE55.eBL.txt,89,akkadian,0.625,0.833,0.833,5,0,1
EAE55.eBL.txt,9,akkadian,0.7,0.667,0.538,5,2,2
EAE55.eBL.txt,90,akkadian,0.571,0.8,0.833,4,0,1
EAE55.eBL.txt,91,akkadian,0.615,0.727,0.733,8,0,3
EAE55.eBL.txt,92,akkadian,0.667,1.0,1.0,4,0,0
EAE55.eBL.txt,93,akkadian,0.667,0.7,0.571,3,1,1
EAE55.eBL.txt,94,akkadian,0.5,0.667,0.5,2,0,1
EAE55.eBL.txt,95,akkadian,0.615,0.667,0.647,8,0,4
EAE55.eBL.txt,96,akkadian,0.667,1.0,1.0,2,0,0
EAE55.eBL.txt,97,akkadian,0.667,1.0,1.0,4,0,0
EAE55.eBL.txt,98,akkadian,0.556,0.714,0.778,5,0,2
EAE55.eBL.txt,99,akkadian,0.6,0.75,0.818,6,0,2
